Energy,Order,Theta,Intensity,Kx
250,-2,0.2,9.195533882093245e-13,(-125663706.14359172+0j)
250,-1,0.2,5.863228539881281e-09,(-62831853.07179586+0j)
250,0,0.2,3.2071339505972625e-08,0j
250,1,0.2,5.863233785246243e-09,(62831853.07179586+0j)
250,2,0.2,9.195501804327867e-13,(125663706.14359172+0j)
250,-2,0.5,8.169352483901279e-12,(-125663706.14359172+0j)
250,-1,0.5,4.354075219705636e-08,(-62831853.07179586+0j)
250,0,0.5,2.3747813522068445e-07,0j
250,1,0.5,4.354079100810121e-08,(62831853.07179586+0j)
250,2,0.5,8.169326570727007e-12,(125663706.14359172+0j)
250,-4,10.0,7.956110873709774e-11,(-251327412.28718343+0j)
250,-3,10.0,0.000305716941253046,(-188495559.21538758+0j)
250,-2,10.0,0.020639823875142488,(-125663706.14359172+0j)
250,-1,10.0,0.11072288051973735,(-62831853.07179586+0j)
250,0,10.0,0.1705900939537828,0j
250,1,10.0,0.11072275824438059,(62831853.07179586+0j)
250,2,10.0,0.020639807488326428,(125663706.14359172+0j)
250,3,10.0,0.0003057133991317949,(188495559.21538758+0j)
250,4,10.0,7.94955205478123e-11,(251327412.28718343+0j)
