,Kx [1/m],Ky [1/m],Kz [1/m],intensity
0,-4419104.249545301,171229.01436380457,1266924960.4516633,3.8689285855191434e-05
1,-4412906.347372027,289929.84133407165,1266924960.4516633,1.3474934739280004e-05
2,-4406708.445198752,372454.59122958867,1266924960.4516635,8.156913186341397e-06
3,-4400510.543025477,439668.85750073317,1266924960.4516633,5.84874570751274e-06
4,-4394312.640852201,497813.376758801,1266924960.4516633,4.559015147444304e-06
5,-4388114.738678925,549773.3930848235,1266924960.4516633,3.7355943892639572e-06
6,-4381916.836505651,597165.4557189321,1266924960.4516633,3.1643546002440545e-06
7,-4375718.9343323745,641003.5501929766,1266924960.4516633,2.744858303944433e-06
8,-4369521.0321591,681973.3814864038,1266924960.4516633,2.4237484686234144e-06
9,-4363323.129985824,720564.3669013893,1266924960.4516635,2.1700568537399183e-06
10,-4357125.227812548,757140.338864599,1266924960.4516633,1.9645764356091094e-06
11,-4350927.325639274,791980.5242049831,1266924960.4516633,1.7947624630562327e-06
12,-4344729.423465998,825304.7803957032,1266924960.4516633,1.6520744864513667e-06
13,-4338531.521292724,857289.9057285114,1266924960.4516633,1.5304968143804606e-06
14,-4332333.619119448,888080.6023239106,1266924960.4516633,1.4256698168243917e-06
15,-4326135.7169461725,917797.0919980081,1266924960.4516635,1.334356790282026e-06
16,-4319937.814772897,946540.5538232367,1266924960.4516633,1.254104315997826e-06
17,-4313739.912599621,974397.1008167049,1266924960.4516633,1.1830188535383149e-06
18,-4307542.010426347,1001440.7481064467,1266924960.4516633,1.1196156680700832e-06
19,-4301344.10825307,1027735.669300234,1266924960.4516633,1.0627141662865467e-06
20,-4295146.206079795,1053337.9381907783,1266924960.4516633,1.0113638214807208e-06
21,-4288948.30390652,1078296.8932311728,1266924960.4516633,9.647907406276698e-07
22,-4282750.401733246,1102656.2202100889,1266924960.4516635,9.223584606770296e-07
23,-4276552.49955997,1126454.820256898,1266924960.4516633,8.835387429664417e-07
24,-4270354.597386694,1149727.5139301487,1266924960.4516633,8.478895106819741e-07
25,-4264156.695213419,1172505.6171873973,1266924960.4516633,8.150379720117945e-07
26,-4257958.793040143,1194817.4172148646,1266924960.4516633,7.846675597677296e-07
27,-4251760.890866869,1216688.567573477,1266924960.4516633,7.565077187015058e-07
28,-4245562.988693593,1238142.420137522,1266924960.4516635,7.303258396538401e-07
29,-4239365.086520317,1259200.304447231,1266924960.4516633,7.059208336514491e-07
30,-4233167.184347043,1279881.7652392737,1266924960.4516633,6.831179684969159e-07
31,-4226969.282173767,1300204.7650674102,1266924960.4516633,6.617646882842182e-07
32,-4220771.380000493,1320185.858624459,1266924960.4516633,6.41727203673974e-07
33,-4214573.4778272165,1339840.342584145,1266924960.4516633,6.228876930189344e-07
34,-4208375.575653941,1359182.3857599096,1266924960.4516635,6.051419895893576e-07
35,-4202177.673480666,1378225.1427107255,1266924960.4516635,5.883976591751196e-07
36,-4195979.77130739,1396980.8525301982,1266924960.4516633,5.725723940087852e-07
37,-4189781.869134115,1415460.9259064693,1266924960.4516633,5.575926631638382e-07
38,-4183583.9669608404,1433676.0216450575,1266924960.4516633,5.433925733125651e-07
39,-4177386.064787564,1451636.1146678596,1266924960.4516633,5.299129021537132e-07
40,-4171188.162614289,1469350.5557272572,1266924960.4516633,5.171002754440888e-07
41,-4164990.2604410145,1486828.1252115192,1266924960.4516635,5.049064624202549e-07
42,-4158792.358267739,1504077.0805779868,1266924960.4516635,4.93287771091495e-07
43,-4152594.4560944634,1521105.1991285807,1266924960.4516633,4.822045266515299e-07
44,-4146396.553921188,1537919.816229702,1266924960.4516635,4.716206203028783e-07
45,-4140198.651747913,1554527.8600218138,1266924960.4516635,4.615031173369121e-07
46,-4134000.749574637,1570935.8822409015,1266924960.4516633,4.51821916083978e-07
47,-4127802.8474013624,1587150.0863119403,1266924960.4516635,4.4254944976513345e-07
48,-4121604.945228087,1603176.3531190197,1266924960.4516633,4.3366042503030397e-07
49,-4115407.0430548117,1619020.2634630608,1266924960.4516633,4.2513159273403214e-07
50,-4109209.140881536,1634687.1199590457,1266924960.4516633,4.169415450821372e-07
51,-4103011.2387082614,1650181.9653165522,1266924960.4516633,4.0907053736648483e-07
52,-4096813.336534985,1665509.600467076,1266924960.4516633,4.015003292602271e-07
53,-4090615.434361711,1680674.600176965,1266924960.4516635,3.942140444416318e-07
54,-4084417.5321884346,1695681.328099121,1266924960.4516633,3.871960452761633e-07
55,-4078219.6300151595,1710533.949703425,1266924960.4516633,3.8043182149392594e-07
56,-4072021.727841884,1725236.4451146976,1266924960.4516633,3.739078902093051e-07
57,-4065823.8256686083,1739792.6205062484,1266924960.4516633,3.676117065934711e-07
58,-4059625.9234953336,1754206.118169698,1266924960.4516633,3.6153158390273945e-07
59,-4053428.021322058,1768480.4266714402,1266924960.4516633,3.5565662117240966e-07
60,-4047230.119148783,1782618.889826987,1266924960.4516633,3.499766382815146e-07
61,-4041032.2169755073,1796624.7145845455,1266924960.4516633,3.4448211753032233e-07
62,-4034834.314802233,1810500.9791723397,1266924960.4516635,3.391641504635597e-07
63,-4028636.412628957,1824250.6402531422,1266924960.4516633,3.340143899007328e-07
64,-4022438.5104556815,1837876.5391570781,1266924960.4516633,3.290250065918345e-07
65,-4016240.608282406,1851381.4085703678,1266924960.4516633,3.2418864948515555e-07
66,-4010042.7061091308,1864767.8780245008,1266924960.4516633,3.194984098782675e-07
67,-4003844.8039358556,1878038.4792820404,1266924960.4516633,3.149477886468394e-07
68,-3997646.9017625805,1891195.6515686046,1266924960.4516633,3.105306662704928e-07
69,-3991448.999589305,1904241.7459976028,1266924960.4516633,3.0624127561834616e-07
70,-3985251.0974160293,1917179.0303046815,1266924960.4516633,3.0207417683480106e-07
71,-3979053.195242754,1930009.6924937968,1266924960.4516633,2.980242346124567e-07
72,-3972855.29306948,1942735.8451009237,1266924960.4516635,2.940865970480671e-07
73,-3966657.390896203,1955359.5288110059,1266924960.4516633,2.9025667636284373e-07
74,-3960459.4887229283,1967882.7154645165,1266924960.4516633,2.865301313012586e-07
75,-3954261.5865496537,1980307.3117150276,1266924960.4516633,2.829028506539574e-07
76,-3948063.6843763776,1992635.1617092376,1266924960.4516633,2.7937093832258467e-07
77,-3941865.7822031025,2004868.0501778661,1266924960.4516633,2.759306993585061e-07
78,-3935667.8800298274,2017007.7049094285,1266924960.4516633,2.7257862720734474e-07
79,-3929469.9778565518,2029055.7993313046,1266924960.4516633,2.693113918379525e-07
80,-3923272.075683277,2041013.9548214753,1266924960.4516633,2.661258287939378e-07
81,-3917074.1735100006,2052883.7431398786,1266924960.4516633,2.630189289787807e-07
82,-3910876.271336726,2064666.6883581956,1266924960.4516633,2.5998782929185785e-07
83,-3904678.3691634503,2076364.2688661348,1266924960.4516633,2.5702980388301347e-07
84,-3898480.466990175,2087977.91945413,1266924960.4516633,2.541422559780349e-07
85,-3892282.5648169,2099509.0329236495,1266924960.4516633,2.513227103789503e-07
86,-3886084.662643624,2110958.9617915363,1266924960.4516633,2.4856880643369566e-07
87,-3879886.7604703493,2122329.0200871304,1266924960.4516633,2.458782914407932e-07
88,-3873688.8582970737,2133620.4847010626,1266924960.4516633,2.4324901459621027e-07
89,-3867490.956123799,2144834.5968414443,1266924960.4516635,2.4067892129826604e-07
90,-3861293.0539505235,2155972.5636547417,1266924960.4516633,2.3816604777099176e-07
91,-3855095.151777249,2167035.559062195,1266924960.4516635,2.357085162173881e-07
92,-3848897.249603973,2178024.725663141,1266924960.4516633,2.333045300105787e-07
93,-3842699.347430697,2188941.175271734,1266924960.4516633,2.3095236950895214e-07
94,-3836501.4452574216,2199785.990521805,1266924960.4516633,2.2865038786879648e-07
95,-3830303.5430841465,2210560.2257093107,1266924960.4516633,2.2639700728703674e-07
